asset,strategy,long_strike,short_strike,entry_cost,max_profit,spot_move,days_held,tp_level,sl_level,final_pnl,roi,exit_reason,profitable,volume,total_oi,strike
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.25,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.25,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.25,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.25,0.25,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.25,0.25,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.25,0.25,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.25,0.25,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.25,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.25,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.25,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.25,0.5,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.25,0.5,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.25,0.5,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.25,0.5,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.25,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.25,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.25,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.25,0.75,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.25,0.75,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.25,0.75,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.25,0.75,83.75,12.593984962406015,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.5,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.5,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.5,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.5,0.25,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.5,0.25,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.5,0.25,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.5,0.25,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.5,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.5,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.5,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.5,0.5,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.5,0.5,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.5,0.5,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.5,0.5,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.5,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.5,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.5,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.5,0.75,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.5,0.75,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.5,0.75,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.5,0.75,167.5,25.18796992481203,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.75,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.75,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.75,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.75,0.25,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.75,0.25,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.75,0.25,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.75,0.25,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.75,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.75,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.75,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.75,0.5,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.75,0.5,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.75,0.5,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.75,0.5,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,0.75,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,0.75,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,0.75,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,0.75,0.75,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,0.75,0.75,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,0.75,0.75,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,0.75,0.75,251.25,37.78195488721804,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,1.0,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,1.0,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,1.0,0.25,-166.25,-25.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,1.0,0.25,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,1.0,0.25,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,1.0,0.25,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,1.0,0.25,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,1.0,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,1.0,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,1.0,0.5,-332.5,-50.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,1.0,0.5,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,1.0,0.5,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,1.0,0.5,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,1.0,0.5,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-15,7,1.0,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-10,14,1.0,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,-5,21,1.0,0.75,-498.75,-75.0,stop_loss,False,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,0,30,1.0,0.75,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,5,21,1.0,0.75,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,10,14,1.0,0.75,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,110000.0,111000.0,665.0,335.0,15,7,1.0,0.75,335.0,50.37593984962406,take_profit,True,0.02,1.86,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.25,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.25,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.25,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.25,0.25,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.25,0.25,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.25,0.25,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.25,0.25,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.25,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.25,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.25,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.25,0.5,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.25,0.5,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.25,0.5,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.25,0.5,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.25,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.25,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.25,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.25,0.75,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.25,0.75,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.25,0.75,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.25,0.75,90.0,14.0625,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.5,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.5,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.5,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.5,0.25,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.5,0.25,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.5,0.25,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.5,0.25,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.5,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.5,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.5,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.5,0.5,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.5,0.5,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.5,0.5,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.5,0.5,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.5,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.5,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.5,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.5,0.75,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.5,0.75,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.5,0.75,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.5,0.75,180.0,28.125,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.75,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.75,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.75,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.75,0.25,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.75,0.25,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.75,0.25,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.75,0.25,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.75,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.75,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.75,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.75,0.5,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.75,0.5,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.75,0.5,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.75,0.5,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,0.75,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,0.75,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,0.75,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,0.75,0.75,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,0.75,0.75,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,0.75,0.75,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,0.75,0.75,270.0,42.1875,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,1.0,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,1.0,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,1.0,0.25,-160.0,-25.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,1.0,0.25,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,1.0,0.25,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,1.0,0.25,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,1.0,0.25,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,1.0,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,1.0,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,1.0,0.5,-320.0,-50.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,1.0,0.5,360.0,56.25,take_profit,True,0.46,6.99,
