asset,strategy,long_strike,short_strike,entry_cost,max_profit,spot_move,days_held,tp_level,sl_level,final_pnl,roi,exit_reason,profitable,volume,total_oi,strike
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,1.0,0.5,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,1.0,0.5,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,1.0,0.5,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-15,7,1.0,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-10,14,1.0,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,-5,21,1.0,0.75,-480.0,-75.0,stop_loss,False,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,0,30,1.0,0.75,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,5,21,1.0,0.75,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,10,14,1.0,0.75,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Bull Call Spread,111000.0,112000.0,640.0,360.0,15,7,1.0,0.75,360.0,56.25,take_profit,True,0.46,6.99,
BTC,Long Straddle,,,8500.0,,-15,7,0.25,0.25,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.25,0.25,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.25,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.25,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.25,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.25,0.25,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.25,0.25,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.25,0.5,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.25,0.5,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.25,0.5,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.25,0.5,-4250.0,-50.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.25,0.5,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.25,0.5,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.25,0.5,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.25,0.75,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.25,0.75,-6375.0,-75.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.25,0.75,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.5,0.25,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.5,0.25,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.5,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.5,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.5,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.5,0.25,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.5,0.25,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.5,0.5,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.5,0.5,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.5,0.5,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.5,0.5,-4250.0,-50.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.5,0.5,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.5,0.5,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.5,0.5,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.5,0.75,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.5,0.75,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.5,0.75,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.5,0.75,-6375.0,-75.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.5,0.75,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.5,0.75,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.5,0.75,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.75,0.25,6375.0,75.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.75,0.25,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.75,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.75,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.75,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.75,0.25,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.75,0.25,6375.0,75.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.75,0.5,6375.0,75.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.75,0.5,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.75,0.5,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.75,0.5,-4250.0,-50.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.75,0.5,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.75,0.5,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.75,0.5,6375.0,75.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.75,0.75,6375.0,75.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.75,0.75,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.75,0.75,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.75,0.75,-6375.0,-75.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.75,0.75,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.75,0.75,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.75,0.75,6375.0,75.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,1.0,0.25,7994.850000000006,94.05705882352949,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,1.0,0.25,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,1.0,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,1.0,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,1.0,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,1.0,0.25,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,1.0,0.25,8500.0,100.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,1.0,0.5,7994.850000000006,94.05705882352949,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,1.0,0.5,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,1.0,0.5,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,1.0,0.5,-4250.0,-50.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,1.0,0.5,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,1.0,0.5,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,1.0,0.5,8500.0,100.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,1.0,0.75,7994.850000000006,94.05705882352949,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,1.0,0.75,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,1.0,0.75,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,1.0,0.75,-6375.0,-75.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,1.0,0.75,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,1.0,0.75,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,1.0,0.75,8500.0,100.0,take_profit,True,0.44,16.48,112000.0
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.25,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.25,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.25,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.25,0.25,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.25,0.25,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.25,0.25,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.25,0.25,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.25,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.25,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.25,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.25,0.5,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.25,0.5,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.25,0.5,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.25,0.5,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.25,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.25,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.25,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.25,0.75,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.25,0.75,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.25,0.75,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.25,0.75,8.25,12.313432835820896,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.5,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.5,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.5,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.5,0.25,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.5,0.25,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.5,0.25,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.5,0.25,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.5,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.5,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.5,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.5,0.5,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.5,0.5,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.5,0.5,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.5,0.5,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.5,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.5,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.5,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.5,0.75,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.5,0.75,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.5,0.75,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.5,0.75,16.5,24.62686567164179,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.75,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.75,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.75,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.75,0.25,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.75,0.25,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.75,0.25,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.75,0.25,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.75,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.75,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.75,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.75,0.5,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.75,0.5,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.75,0.5,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.75,0.5,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,0.75,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,0.75,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,0.75,0.75,-50.25,-75.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,0.75,0.75,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,0.75,0.75,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,0.75,0.75,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,0.75,0.75,24.75,36.940298507462686,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,1.0,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,1.0,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,1.0,0.25,-16.75,-25.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,1.0,0.25,33.0,49.25373134328358,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,1.0,0.25,33.0,49.25373134328358,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,10,14,1.0,0.25,33.0,49.25373134328358,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,15,7,1.0,0.25,33.0,49.25373134328358,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-15,7,1.0,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-10,14,1.0,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,-5,21,1.0,0.5,-33.5,-50.0,stop_loss,False,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,0,30,1.0,0.5,33.0,49.25373134328358,take_profit,True,2.0,159.9,
ETH,Bull Call Spread,3800.0,3900.0,67.0,33.0,5,21,1.0,0.5,33.0,49.25373134328358,take_profit,True,2.0,159.9,
